"FREGUESIA.x","CONCELHO","id_c","query"
"ABRANCELHA","ABRANTES","1401","You are matching parish names (freguesias) within the municipality (concelho) of 'ABRANTES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- FONTES
- CARVALHAL
- SOUTO
- ALDEIA DO MATO
- ABRANTES (S. VICENTE)
- MARTINCHEL
- MOURISCAS
- ALFERRAREDE
- RIO DE MOINHOS
- PEGO
- ALVEGA
- TRAMAGAL
- CONCAVADA
- ABRANTES (S. JOAO BAPTISTA)
- ROSSIO AO SUL DO TEJO
- S. MIGUEL DO RIO TORTO
- S. FACUNDO
- BEMPOSTA
- VALE DE MOS

Does the name 'ABRANCELHA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"AGOIA","FIGUEIRO DOS VINHOS","1008","You are matching parish names (freguesias) within the municipality (concelho) of 'FIGUEIRO DOS VINHOS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CAMPELO
- AGUDA
- FIGUEIRO DOS VINHOS
- BAIRRADAS
- AREGA

Does the name 'AGOIA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"AGUAS BELAS","ALCOBACA","1001","You are matching parish names (freguesias) within the municipality (concelho) of 'ALCOBACA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- PATAIAS
- MOITA
- MARTINGANCA
- ALPEDRIZ
- MONTES
- COZ
- MAIORGA
- ALJUBARROTA (PRAZERES)
- ALJUBARROTA (S. VICENTE)
- BARRIO
- VESTIARIA
- CELA
- ALCOBACA
- S. MARTINHO DO PORTO
- EVORA DE ALCOBACA
- ALFEIZERAO
- VIMEIRO
- TURQUEL
- BENEDITA

Does the name 'AGUAS BELAS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"AIRES","PALMELA","1508","You are matching parish names (freguesias) within the municipality (concelho) of 'PALMELA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- POCEIRAO
- PINHAL NOVO
- MARATECA
- QUINTA DO ANJO
- PALMELA

Does the name 'AIRES' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ALDEIA DE MATOS","GRANDOLA","1505","You are matching parish names (freguesias) within the municipality (concelho) of 'GRANDOLA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CARVALHAL
- GRANDOLA
- MELIDES
- AZINHEIRA DOS BARROS E S. MAMEDE DO SADAO
- SANTA MARGARIDA DA SERRA

Does the name 'ALDEIA DE MATOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ALDEIA DO CARVALHO","COVILHA","0503","You are matching parish names (freguesias) within the municipality (concelho) of 'COVILHA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- VERDELHOS
- VALE FORMOSO
- SARZEDO
- ALDEIA DO SOUTO
- ORJAIS
- TEIXOSO
- VILA DO CARVALHO
- UNHAIS DA SERRA
- CORTES DO MEIO
- CANTAR-GALO
- CANHOSO
- PERABOA
- COVILHA (SANTA MARIA)
- COVILHA (CONCEICAO)
- COVILHA (S. MARTINHO)
- BOIDOBRA
- COVILHA (S. PEDRO)
- ERADA
- FERRO
- TORTOSENDO
- SOBRAL DE S. MIGUEL
- PAUL
- PESO
- VALES DO RIO
- CASEGAS
- DOMINGUIZO
- COUTADA
- S. JORGE DA BEIRA
- BARCO
- OURONDO
- ALDEIA DE S. FRANCISCO DE ASSIS

Does the name 'ALDEIA DO CARVALHO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ALMOCAVE","LAMEGO","1805","You are matching parish names (freguesias) within the municipality (concelho) of 'LAMEGO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CAMBRES
- PENAJOIA
- VALDIGEM
- SAMODAES
- PARADA DO BISPO
- SANDE
- AVOES
- FERREIROS DE AVOES
- LAMEGO (ALMACAVE)
- FIGUEIRA
- LAMEGO (SE)
- PENUDE
- VARZEA DE ABRUNHAIS
- VILA NOVA DE SOUTO D'EL-REI
- CEPOES
- BRITIANDE
- MAGUEIJA
- MELCOES
- FERREIRIM
- MEIJINHOS
- LALIM
- PRETAROUCA
- LAZARIM
- BIGORNE

Does the name 'ALMOCAVE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ALPENDURADA","MARCO DE CANAVESES","1307","You are matching parish names (freguesias) within the municipality (concelho) of 'MARCO DE CANAVESES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- BANHO E CARVALHOSA
- TOUTOSA
- CONSTANCE
- FOLHADA
- VARZEA DA OVELHA E ALIVIADA
- VILA BOA DE QUIRES
- S. ISIDORO
- SOBRETAMEGA
- FORNOS
- TABUADO
- S. NICOLAU
- TUIAS
- SOALHAES
- MAURELES
- RIO DE GALINHAS
- AVESSADAS
- FREIXO
- MANHUNCELOS
- ROSEM
- VILA BOA DO BISPO
- PAREDES DE VIADORES
- PENHA LONGA
- SANDE
- FAVOES
- ARIZ
- PACOS DE GAIOLO
- S. LOURENCO DO DOURO
- MAGRELOS
- VILA DE ALPENDORADA
- VARZEA DO DOURO
- TORRAO

Does the name 'ALPENDURADA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ALPENDURADA E MATOS","MARCO DE CANAVESES","1307","You are matching parish names (freguesias) within the municipality (concelho) of 'MARCO DE CANAVESES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- BANHO E CARVALHOSA
- TOUTOSA
- CONSTANCE
- FOLHADA
- VARZEA DA OVELHA E ALIVIADA
- VILA BOA DE QUIRES
- S. ISIDORO
- SOBRETAMEGA
- FORNOS
- TABUADO
- S. NICOLAU
- TUIAS
- SOALHAES
- MAURELES
- RIO DE GALINHAS
- AVESSADAS
- FREIXO
- MANHUNCELOS
- ROSEM
- VILA BOA DO BISPO
- PAREDES DE VIADORES
- PENHA LONGA
- SANDE
- FAVOES
- ARIZ
- PACOS DE GAIOLO
- S. LOURENCO DO DOURO
- MAGRELOS
- VILA DE ALPENDORADA
- VARZEA DO DOURO
- TORRAO

Does the name 'ALPENDURADA E MATOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ALVARELHOS","S. TIRSO","1314","You are matching parish names (freguesias) within the municipality (concelho) of 'S. TIRSO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- AVES
- VILARINHO
- SEQUEIRO
- LAMA
- AREIAS
- S. MARTINHO DO CAMPO
- PALMEIRA
- RORIZ
- S. SALVADOR DO CAMPO
- REBORDOES
- NEGRELOS (S. TOME)
- BURGAES
- S. TIRSO
- NEGRELOS (S. MAMEDE)
- COUTO (SANTA CRISTINA)
- MONTE CORDOVA
- COUTO (S. MIGUEL)
- GUIMAREI
- CARREIRA
- REFOJOS DE RIBA DE AVE
- AGUA LONGA
- LAMELAS
- REGUENGA
- AGRELA

Does the name 'ALVARELHOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
